degisken,ortalama_mutlak_shap,pay_yuzde
entrances_medi,0.0015226068,0.04
years_build_mode,0.0015051019,0.04
floorsmin_avg,0.0015010514,0.04
entrances_mode,0.0014505832,0.04
pos_dpd_max,0.0014372566,0.04
prev_refused_last_year,0.0013778739,0.04
bb_worst_status,0.001324111,0.04
floorsmin_medi,0.0013138991,0.04
commonarea_medi,0.0012130662,0.03
nonlivingarea_medi,0.0012092924,0.03
reg_city_not_work_city,0.00089202204,0.02
cc_dpd_max,0.0008866725,0.02
flag_document_8,0.0008576173,0.02
amt_req_credit_bureau_day,0.0007233573,0.02
bureau_max_overdue_days,0.00072174735,0.02
elevators_mode,0.000645102,0.02
flag_own_realty,0.00061168533,0.02
pos_dpd_months_1y,0.000579992,0.02
fondkapremont_mode,0.0005072474,0.01
amt_req_credit_bureau_mon,0.000500888,0.01
cc_dpd_ratio,0.00047843676,0.01
prev_reject_hc,0.00045984157,0.01
flag_document_13,0.00044824256,0.01
floorsmin_mode,0.0004284776,0.01
prev_unused_count,0.00033566015,0.01
bureau_prolong_sum,0.00018836322,0.01
flag_email,0.00017847253,0.0
flag_document_5,0.00017053483,0.0
live_city_not_work_city,0.00016135268,0.0
cc_dpd_def_max,0.00015072567,0.0
floorsmax_mode,0.00014928813,0.0
cc_months_since_last,0.000116933654,0.0
cc_dpd_months_1y,0.000110406996,0.0
amt_req_credit_bureau_week,0.000106036096,0.0
housetype_mode,0.000105579646,0.0
bureau_overdue_credit_count,9.758518e-05,0.0
live_region_not_work_region,9.044262e-05,0.0
flag_cont_mobile,0.0,0.0
flag_document_6,0.0,0.0
flag_document_4,0.0,0.0
flag_document_2,0.0,0.0
emergencystate_mode,0.0,0.0
flag_emp_phone,0.0,0.0
flag_mobil,0.0,0.0
reg_region_not_work_region,0.0,0.0
flag_document_7,0.0,0.0
flag_document_9,0.0,0.0
flag_document_11,0.0,0.0
flag_document_10,0.0,0.0
flag_document_17,0.0,0.0
amt_req_credit_bureau_hour,0.0,0.0
flag_document_20,0.0,0.0
flag_document_21,0.0,0.0
flag_document_14,0.0,0.0
flag_document_12,0.0,0.0
flag_document_15,0.0,0.0
flag_document_19,0.0,0.0
cc_card_count,0.0,0.0
pos_demand_months,0.0,0.0
inst_late30_count,0.0,0.0
flag_not_employed,0.0,0.0
