degisken,onem,pay_yuzde
commonarea_mode,9.448661804199219,0.33
years_build_mode,9.415655136108398,0.33
years_beginexpluatation_mode,9.342453956604004,0.32
commonarea_medi,9.325737953186035,0.32
landarea_medi,9.309990882873535,0.32
flag_email,9.30952262878418,0.32
income_per_person,9.3031005859375,0.32
prev_amt_credit_sum,9.269338607788086,0.32
weekday_appr_process_start,9.255620956420898,0.32
pos_dpd_max,9.127256393432617,0.32
years_beginexpluatation_avg,9.11162281036377,0.32
live_city_not_work_city,9.079771995544434,0.31
bureau_credit_count,9.073824882507324,0.31
commonarea_avg,9.072671890258789,0.31
flag_document_18,9.01711368560791,0.31
landarea_avg,8.965490341186523,0.31
inst_count_1y,8.960102081298828,0.31
inst_underpaid_count,8.955328941345215,0.31
basementarea_avg,8.91076374053955,0.31
bureau_max_overdue_days,8.885382652282715,0.31
nonlivingarea_avg,8.860013008117676,0.31
prev_revolving_count,8.766029357910156,0.3
floorsmin_mode,8.71049976348877,0.3
prev_consumer_count,8.68057918548584,0.3
reg_region_not_live_region,8.647201538085938,0.3
bureau_overdue_credit_count,8.646745681762695,0.3
obs_60_cnt_social_circle,8.640108108520508,0.3
flag_phone,8.632843971252441,0.3
years_build_avg,8.598755836486816,0.3
livingapartments_mode,8.488431930541992,0.29
prev_approved_count,8.486495971679688,0.29
inst_late30_count,8.47269058227539,0.29
live_region_not_work_region,8.406749725341797,0.29
bureau_bad_count,8.405013084411621,0.29
years_build_medi,8.336563110351562,0.29
prev_canceled_count,8.295225143432617,0.29
nonlivingarea_medi,8.253396034240723,0.29
amt_req_credit_bureau_day,8.016176223754883,0.28
nonlivingapartments_medi,7.973150253295898,0.28
pos_dpd_months,7.961224555969238,0.28
prev_app_count,7.865209579467773,0.27
entrances_avg,7.775454521179199,0.27
prev_reject_sco,7.73939323425293,0.27
flag_document_5,7.697561264038086,0.27
bureau_prolong_sum,7.472020149230957,0.26
amt_req_credit_bureau_mon,7.394739627838135,0.26
flag_document_13,7.224678039550781,0.25
amt_req_credit_bureau_week,6.895059585571289,0.24
cc_dpd_max,6.678627967834473,0.23
cc_dpd_def_max,6.376436233520508,0.22
flag_cont_mobile,0.0,0.0
flag_document_4,0.0,0.0
flag_document_2,0.0,0.0
emergencystate_mode,0.0,0.0
flag_emp_phone,0.0,0.0
flag_mobil,0.0,0.0
reg_region_not_work_region,0.0,0.0
flag_document_7,0.0,0.0
flag_document_6,0.0,0.0
flag_document_11,0.0,0.0
flag_document_10,0.0,0.0
flag_document_9,0.0,0.0
amt_req_credit_bureau_hour,0.0,0.0
flag_document_20,0.0,0.0
flag_document_21,0.0,0.0
flag_document_14,0.0,0.0
flag_document_12,0.0,0.0
flag_document_15,0.0,0.0
flag_document_19,0.0,0.0
flag_document_17,0.0,0.0
pos_demand_months,0.0,0.0
cc_card_count,0.0,0.0
flag_not_employed,0.0,0.0
