degisken,onem,pay_yuzde
flag_own_realty,9.38262939453125,0.32
days_last_phone_change,9.380571365356445,0.32
nonlivingarea_avg,9.290249824523926,0.32
landarea_medi,9.27234172821045,0.32
entrances_medi,9.211343765258789,0.31
inst_late30_ratio,9.189081192016602,0.31
nonlivingarea_medi,9.160075187683105,0.31
flag_email,9.130558967590332,0.31
name_type_suite,9.122400283813477,0.31
cc_over_limit_months,9.116179466247559,0.31
reg_region_not_live_region,9.087636947631836,0.31
cc_dpd_ratio,9.067505836486816,0.31
nonlivingarea_mode,9.051271438598633,0.31
weekday_appr_process_start,9.039260864257812,0.31
livingapartments_medi,8.995810508728027,0.31
pos_dpd30_months,8.974638938903809,0.31
nonlivingapartments_avg,8.939501762390137,0.3
flag_document_18,8.924712181091309,0.3
fondkapremont_mode,8.914285659790039,0.3
prev_approved_count,8.909323692321777,0.3
reg_city_not_work_city,8.813003540039062,0.3
nonlivingapartments_mode,8.749725341796875,0.3
housetype_mode,8.739689826965332,0.3
flag_phone,8.688910484313965,0.3
landarea_mode,8.673452377319336,0.29
inst_late_count,8.605328559875488,0.29
livingapartments_avg,8.60219669342041,0.29
income_per_person,8.474231719970703,0.29
bureau_overdue_credit_count,8.415268898010254,0.29
prev_canceled_count,8.389121055603027,0.29
amt_income_total,8.374077796936035,0.28
prev_unused_count,8.370759963989258,0.28
cc_drawings_sum,8.353426933288574,0.28
amt_req_credit_bureau_year,8.339113235473633,0.28
bb_worst_status,8.259443283081055,0.28
obs_30_cnt_social_circle,8.160543441772461,0.28
nonlivingapartments_medi,8.058389663696289,0.27
bureau_max_overdue_days,8.027576446533203,0.27
amt_req_credit_bureau_mon,8.02022647857666,0.27
bureau_prolong_sum,7.946998596191406,0.27
bb_dpd_months,7.923017978668213,0.27
floorsmin_mode,7.56146240234375,0.26
pos_dpd_months,7.500495433807373,0.26
floorsmax_mode,7.498668670654297,0.25
cc_dpd_max,7.495326519012451,0.25
emergencystate_mode,7.356473445892334,0.25
flag_document_8,7.209801197052002,0.25
live_city_not_work_city,7.125179767608643,0.24
flag_document_13,7.033784866333008,0.24
elevators_mode,6.993941783905029,0.24
prev_reject_sco,6.8366594314575195,0.23
cc_months_since_last,6.811356067657471,0.23
reg_region_not_work_region,6.8095221519470215,0.23
flag_document_6,0.0,0.0
flag_document_4,0.0,0.0
flag_document_2,0.0,0.0
flag_emp_phone,0.0,0.0
flag_mobil,0.0,0.0
flag_cont_mobile,0.0,0.0
live_region_not_work_region,0.0,0.0
flag_document_7,0.0,0.0
flag_document_9,0.0,0.0
flag_document_11,0.0,0.0
flag_document_10,0.0,0.0
flag_document_17,0.0,0.0
amt_req_credit_bureau_hour,0.0,0.0
flag_document_20,0.0,0.0
flag_document_21,0.0,0.0
flag_document_14,0.0,0.0
flag_document_12,0.0,0.0
flag_document_15,0.0,0.0
flag_document_19,0.0,0.0
cc_card_count,0.0,0.0
pos_demand_months,0.0,0.0
cc_dpd_months_1y,0.0,0.0
flag_not_employed,0.0,0.0
