Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
ext_source_min,0,"(-inf, 0.12)",14632,0.07930365408171008,11326,3306,0.22594313832695462,-1.2011200252871213,0.18638661818953334,0.021991638902069503,-0.21290113317128145,3.433502610350459
ext_source_min,1,"[0.12, 0.18)",11846,0.06420387412875463,10072,1774,0.14975519162586526,-0.6959595807252437,0.041560916352271285,0.005092743619363462,-0.21290113317128145,6.536717456976554
ext_source_min,2,"[0.18, 0.25)",18215,0.09872307675631145,16032,2183,0.11984628053801812,-0.43859534624525476,0.022823219694049508,0.0028302534473050485,-0.21290113317128145,8.117713202044303
ext_source_min,3,"[0.25, 0.28)",9671,0.05241563959979621,8757,914,0.09450935787405645,-0.17270390551182757,0.0016809214767178181,0.00020985444715468891,-0.21290113317128145,9.751091815428005
ext_source_min,4,"[0.28, 0.31)",9291,0.05035608598094371,8467,824,0.08868797761274351,-0.10272098984709643,0.000554741219465017,6.93121820059049e-05,-0.21290113317128145,10.18099883851119
ext_source_min,5,"[0.31, 0.35)",12758,0.06914680281400062,11782,976,0.07650101896849036,0.05838364208863789,0.00023000178369719812,2.874614034804185e-05,-0.21290113317128145,11.170669132504221
ext_source_min,6,"[0.35, 0.40)",15333,0.08310298852069851,14270,1063,0.06932759407813213,0.16458233854903215,0.0021012990627716534,0.000262366332648133,-0.21290113317128145,11.82305071759459
ext_source_min,7,"[0.40, 0.44)",10312,0.055889781362123726,9692,620,0.06012412723041117,0.31685461031737727,0.0049168908953399985,0.0006120531557627048,-0.21290113317128145,12.758463574178874
ext_source_min,8,"[0.44, 0.49)",16145,0.08750392941150965,15268,877,0.05432022297925054,0.42452542791303527,0.013219266774310331,0.0016401107549146093,-0.21290113317128145,13.419888440888304
ext_source_min,9,"[0.49, 0.58)",27733,0.1503094750306223,26539,1194,0.04305340208415966,0.6688243406687469,0.051037100273893916,0.006263327540203376,-0.21290113317128145,14.920623546416296
ext_source_min,10,"[0.58, 0.61)",10242,0.055510389906019315,9865,377,0.03680921694981449,0.832021237428803,0.0273335570088655,0.0033214325877842857,-0.21290113317128145,15.92314668218624
ext_source_min,11,"[0.61, 0.68)",16489,0.0893683674243656,15963,526,0.03190005458184244,0.980245616946867,0.057639907127521366,0.006929707690197734,-0.21290113317128145,16.833693222605348
ext_source_min,12,"[0.68, inf)",11744,0.06365104657843106,11491,253,0.02154291553133515,1.3834479169502116,0.07022876624464644,0.008139341005407436,-0.21290113317128145,19.310576313975155
ext_source_min,13,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.21290113317128145,10.812016773872502
ext_source_min,14,Missing,95,0.0005148884047131259,87,8,0.08421052631578947,-0.04601541660515407,1.111481889241268e-06,1.3892297978402903e-07,-0.21290113317128145,10.812016773872502
ext_source_max,0,"(-inf, 0.31)",10555,0.05720681170260046,8032,2523,0.23903363334912364,-1.2744971002894494,0.15552723894332754,0.018223493148486886,-0.14112427194764965,5.62228274848295
ext_source_max,1,"[0.31, 0.41)",9625,0.05216632521435617,7956,1669,0.1734025974025974,-0.8707802772678741,0.05672583940766912,0.00687486779379382,-0.14112427194764965,7.266211897149829
ext_source_max,2,"[0.41, 0.47)",9423,0.051071509869597735,8113,1310,0.13902154303300435,-0.6090414173800343,0.02443230162360763,0.003007694495208166,-0.14112427194764965,8.332008803724271
ext_source_max,3,"[0.47, 0.51)",9299,0.0503994450044985,8226,1073,0.11538875147865361,-0.3956405874202309,0.009312739916037868,0.0011565590383211758,-0.14112427194764965,9.200973941453686
ext_source_max,4,"[0.51, 0.56)",12172,0.0659707543386123,10936,1236,0.1015445284258955,-0.25230225319375243,0.00466857966555415,0.0005820295288865825,-0.14112427194764965,9.784645595244717
ext_source_max,5,"[0.56, 0.58)",9687,0.05250235764690579,8831,856,0.08836585114070404,-0.09872883225284168,0.0005334072749884448,6.664884274869775e-05,-0.14112427194764965,10.40999437624352
ext_source_max,6,"[0.58, 0.61)",10155,0.05503886052486098,9299,856,0.0842934515017233,-0.04709022324344714,0.0001244828061430482,1.5558913222747683e-05,-0.14112427194764965,10.620266056060586
ext_source_max,7,"[0.61, 0.64)",15545,0.08425200264490043,14433,1112,0.07153425538758443,0.13087506197713372,0.0013661775404376366,0.00017065042040879897,-0.14112427194764965,11.344938160718689
ext_source_max,8,"[0.64, 0.66)",12096,0.0655588436148418,11335,761,0.06291335978835978,0.26853521150004145,0.004226320436784024,0.0005267084387223348,-0.14112427194764965,11.905488327334993
ext_source_max,9,"[0.66, 0.68)",10069,0.05457275102164699,9486,583,0.057900486642169034,0.35690312650713274,0.005991448829661702,0.0007449813017424358,-0.14112427194764965,12.265321217626294
ext_source_max,10,"[0.68, 0.71)",17799,0.0964684075314624,16876,923,0.05185684589021855,0.47353654516147525,0.017772376135525795,0.0022010206111048713,-0.14112427194764965,12.740250835865893
ext_source_max,11,"[0.71, 0.72)",10970,0.05945606104950517,10507,463,0.04220601640838651,0.6895879330226391,0.02128301211121974,0.0026088865621327418,-0.14112427194764965,13.620009007587957
ext_source_max,12,"[0.72, 0.74)",11268,0.061071184676921075,10839,429,0.03807241746538871,0.796967107307831,0.027976288666304933,0.003407330235624211,-0.14112427194764965,14.057255474668608
